recon,cyber,disinfo,comb,cyber2,disinfo2
3.0,97.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
2.0,77.0,0.0,21.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,36.0,40.0,23.0,0.0,0.0
1.0,77.0,0.0,22.0,0.0,0.0
1.0,63.0,36.0,0.0,0.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
2.0,87.0,0.0,11.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,97.0,0.0,0.0
1.0,0.0,50.0,49.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,70.0,24.0,5.0,0.0,0.0
2.0,75.0,0.0,23.0,0.0,0.0
1.0,27.0,0.0,41.0,31.0,0.0
1.0,66.0,0.0,33.0,0.0,0.0
2.0,93.0,0.0,5.0,0.0,0.0
1.0,28.0,64.0,7.0,0.0,0.0
1.0,68.0,0.0,31.0,0.0,0.0
2.0,20.0,0.0,78.0,0.0,0.0
1.0,23.0,0.0,47.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,61.0,4.0,34.0,0.0,0.0
1.0,22.0,0.0,9.0,68.0,0.0
2.0,79.0,0.0,19.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,9.0,0.0,16.0,74.0,0.0
1.0,0.0,93.0,6.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,39.0,59.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
1.0,86.0,3.0,10.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,82.0,17.0,0.0,0.0
1.0,29.0,0.0,19.0,51.0,0.0
1.0,0.0,77.0,22.0,0.0,0.0
2.0,94.0,4.0,0.0,0.0,0.0
1.0,74.0,0.0,25.0,0.0,0.0
1.0,85.0,1.0,13.0,0.0,0.0
1.0,52.0,1.0,46.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,14.0,0.0,85.0,0.0,0.0
1.0,84.0,2.0,13.0,0.0,0.0
1.0,0.0,33.0,66.0,0.0,0.0
1.0,63.0,1.0,35.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,62.0,6.0,31.0,0.0,0.0
2.0,3.0,45.0,50.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,78.0,0.0,21.0,0.0,0.0
1.0,21.0,1.0,77.0,0.0,0.0
1.0,32.0,0.0,67.0,0.0,0.0
3.0,24.0,17.0,56.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,16.0,0.0,83.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,38.0,0.0,0.0
2.0,23.0,0.0,7.0,68.0,0.0
1.0,73.0,0.0,26.0,0.0,0.0
1.0,0.0,89.0,10.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,19.0,0.0,80.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,27.0,54.0,0.0
1.0,32.0,39.0,28.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
3.0,77.0,0.0,20.0,0.0,0.0
2.0,71.0,0.0,27.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,94.0,5.0,0.0,0.0
1.0,63.0,0.0,36.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,54.0,0.0,45.0,0.0,0.0
1.0,35.0,0.0,42.0,22.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
2.0,66.0,0.0,2.0,30.0,0.0
1.0,4.0,0.0,95.0,0.0,0.0
1.0,63.0,0.0,36.0,0.0,0.0
1.0,82.0,17.0,0.0,0.0,0.0
1.0,2.0,0.0,84.0,13.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,3.0,95.0,0.0
1.0,67.0,0.0,32.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,1.0,81.0,0.0,17.0
1.0,55.0,0.0,44.0,0.0,0.0
1.0,0.0,74.0,25.0,0.0,0.0
1.0,0.0,0.0,6.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,29.0,0.0,70.0,0.0,0.0
1.0,0.0,35.0,64.0,0.0,0.0
1.0,52.0,4.0,43.0,0.0,0.0
1.0,9.0,0.0,48.0,42.0,0.0
2.0,77.0,0.0,21.0,0.0,0.0
2.0,89.0,0.0,4.0,5.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,92.0,2.0,5.0,0.0,0.0
2.0,1.0,0.0,97.0,0.0,0.0
2.0,56.0,0.0,42.0,0.0,0.0
1.0,23.0,0.0,6.0,70.0,0.0
2.0,85.0,0.0,13.0,0.0,0.0
2.0,46.0,12.0,40.0,0.0,0.0
1.0,61.0,0.0,38.0,0.0,0.0
1.0,18.0,0.0,37.0,44.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,1.0,0.0,27.0,71.0,0.0
1.0,0.0,82.0,17.0,0.0,0.0
1.0,34.0,0.0,65.0,0.0,0.0
1.0,13.0,0.0,86.0,0.0,0.0
1.0,65.0,0.0,34.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,27.0,0.0,72.0,0.0,0.0
1.0,79.0,0.0,17.0,3.0,0.0
1.0,51.0,0.0,48.0,0.0,0.0
1.0,80.0,0.0,19.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,13.0,85.0,0.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,17.0,0.0,40.0,42.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
1.0,0.0,61.0,38.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,3.0,0.0,54.0,42.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,20.0,78.0,0.0,0.0,0.0
1.0,49.0,1.0,49.0,0.0,0.0
2.0,21.0,53.0,24.0,0.0,0.0
1.0,30.0,69.0,0.0,0.0,0.0
1.0,5.0,0.0,1.0,93.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,67.0,32.0,0.0,0.0,0.0
1.0,46.0,0.0,34.0,19.0,0.0
1.0,55.0,0.0,44.0,0.0,0.0
1.0,2.0,0.0,4.0,93.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
2.0,17.0,0.0,81.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,12.0,0.0,87.0,0.0,0.0
1.0,36.0,0.0,11.0,52.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,0.0,61.0,38.0,0.0,0.0
1.0,70.0,0.0,17.0,12.0,0.0
1.0,0.0,9.0,90.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,91.0,0.0,8.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,5.0,73.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,20.0,78.0,0.0,0.0,0.0
1.0,0.0,49.0,50.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,10.0,0.0,36.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,4.0,80.0,15.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,0.0,89.0,10.0,0.0,0.0
1.0,1.0,0.0,14.0,84.0,0.0
1.0,57.0,0.0,33.0,9.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,3.0,0.0,96.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
2.0,70.0,0.0,28.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,83.0,1.0,15.0,0.0,0.0
1.0,72.0,0.0,27.0,0.0,0.0
1.0,38.0,0.0,52.0,9.0,0.0
1.0,11.0,0.0,88.0,0.0,0.0
1.0,18.0,0.0,39.0,42.0,0.0
1.0,38.0,0.0,61.0,0.0,0.0
1.0,5.0,0.0,16.0,78.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,64.0,0.0,35.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,0.0,4.0,47.0,0.0,47.0
1.0,73.0,0.0,26.0,0.0,0.0
1.0,43.0,0.0,56.0,0.0,0.0
1.0,12.0,0.0,87.0,0.0,0.0
1.0,0.0,93.0,6.0,0.0,0.0
1.0,93.0,4.0,2.0,0.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
1.0,9.0,1.0,89.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,29.0,0.0,70.0,0.0,0.0
2.0,74.0,0.0,24.0,0.0,0.0
1.0,42.0,0.0,5.0,52.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
2.0,47.0,0.0,39.0,12.0,0.0
1.0,35.0,0.0,64.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,8.0,0.0,39.0,52.0,0.0
1.0,16.0,0.0,83.0,0.0,0.0
1.0,0.0,3.0,20.0,0.0,76.0
1.0,21.0,1.0,77.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,27.0,0.0,26.0,46.0,0.0
1.0,5.0,0.0,94.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,31.0,3.0,65.0,0.0,0.0
1.0,23.0,8.0,0.0,0.0,0.0
1.0,82.0,0.0,17.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,76.0,4.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,33.0,0.0,66.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
2.0,57.0,0.0,41.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,82.0,1.0,16.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
1.0,85.0,0.0,14.0,0.0,0.0
1.0,23.0,0.0,76.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,64.0,0.0,35.0,0.0,0.0
1.0,19.0,80.0,0.0,0.0,0.0
2.0,53.0,0.0,45.0,0.0,0.0
1.0,38.0,0.0,61.0,0.0,0.0
1.0,2.0,61.0,36.0,0.0,0.0
1.0,77.0,0.0,22.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
2.0,16.0,3.0,79.0,0.0,0.0
2.0,51.0,0.0,47.0,0.0,0.0
1.0,35.0,0.0,64.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,30.0,0.0,69.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,36.0,0.0,15.0,47.0,0.0
2.0,45.0,0.0,53.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,66.0,0.0,32.0,0.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
2.0,0.0,31.0,67.0,0.0,0.0
1.0,21.0,60.0,18.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,63.0,0.0,36.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
2.0,65.0,1.0,32.0,0.0,0.0
1.0,84.0,0.0,15.0,0.0,0.0
1.0,0.0,84.0,15.0,0.0,0.0
1.0,40.0,0.0,59.0,0.0,0.0
1.0,13.0,1.0,85.0,0.0,0.0
2.0,78.0,0.0,20.0,0.0,0.0
2.0,0.0,78.0,20.0,0.0,0.0
2.0,4.0,0.0,94.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,16.0,0.0,65.0,18.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,4.0,0.0,72.0,22.0,0.0
2.0,34.0,0.0,7.0,57.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,18.0,0.0,81.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,0.0,72.0,0.0,0.0
1.0,69.0,0.0,30.0,0.0,0.0
2.0,75.0,0.0,23.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,20.0,0.0,79.0,0.0,0.0
1.0,61.0,0.0,38.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,0.0,92.0,7.0,0.0,0.0
1.0,18.0,0.0,37.0,44.0,0.0
1.0,13.0,0.0,86.0,0.0,0.0
1.0,65.0,0.0,34.0,0.0,0.0
1.0,72.0,0.0,27.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,0.0,31.0,68.0,0.0,0.0
1.0,43.0,0.0,56.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,73.0,0.0,0.0
1.0,2.0,0.0,97.0,0.0,0.0
1.0,12.0,0.0,87.0,0.0,0.0
1.0,9.0,90.0,0.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,55.0,0.0,44.0,0.0,0.0
1.0,0.0,39.0,60.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
2.0,33.0,0.0,65.0,0.0,0.0
1.0,76.0,1.0,22.0,0.0,0.0
2.0,67.0,0.0,31.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,9.0,0.0,90.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,87.0,0.0,11.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,71.0,0.0,28.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,50.0,0.0,49.0,0.0,0.0
1.0,1.0,11.0,87.0,0.0,0.0
1.0,74.0,2.0,23.0,0.0,0.0
1.0,27.0,0.0,33.0,39.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,84.0,0.0,14.0,0.0,0.0
1.0,1.0,0.0,95.0,3.0,0.0
1.0,1.0,0.0,21.0,77.0,0.0
1.0,19.0,53.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,62.0,0.0,36.0,0.0,0.0
1.0,89.0,0.0,10.0,0.0,0.0
1.0,11.0,2.0,86.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
1.0,64.0,0.0,35.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,72.0,0.0,27.0,0.0,0.0
2.0,9.0,0.0,61.0,28.0,0.0
1.0,60.0,0.0,39.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,57.0,0.0,9.0,33.0,0.0
2.0,60.0,0.0,38.0,0.0,0.0
1.0,16.0,0.0,83.0,0.0,0.0
1.0,23.0,0.0,76.0,0.0,0.0
2.0,70.0,2.0,26.0,0.0,0.0
1.0,22.0,0.0,77.0,0.0,0.0
1.0,90.0,0.0,9.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,52.0,0.0,47.0,0.0,0.0
1.0,25.0,0.0,74.0,0.0,0.0
1.0,1.0,0.0,30.0,68.0,0.0
1.0,6.0,8.0,85.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,51.0,0.0,48.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
1.0,1.0,0.0,4.0,94.0,0.0
1.0,74.0,0.0,25.0,0.0,0.0
1.0,0.0,93.0,6.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,10.0,0.0,89.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,57.0,0.0,12.0,30.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,41.0,1.0,57.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,74.0,2.0,23.0,0.0,0.0
1.0,0.0,94.0,5.0,0.0,0.0
1.0,0.0,22.0,77.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,22.0,58.0,19.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,34.0,0.0,65.0,0.0,0.0
2.0,10.0,0.0,39.0,49.0,0.0
1.0,11.0,0.0,66.0,22.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,86.0,0.0,13.0,0.0,0.0
1.0,0.0,82.0,17.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,49.0,0.0,50.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,72.0,0.0,27.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
1.0,60.0,0.0,21.0,18.0,0.0
1.0,46.0,0.0,29.0,24.0,0.0
1.0,83.0,0.0,16.0,0.0,0.0
1.0,22.0,1.0,76.0,0.0,0.0
1.0,48.0,0.0,51.0,0.0,0.0
3.0,69.0,0.0,17.0,11.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,59.0,0.0,40.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,50.0,0.0,48.0,0.0,0.0
1.0,56.0,1.0,42.0,0.0,0.0
1.0,0.0,1.0,98.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,88.0,2.0,9.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,51.0,1.0,47.0,0.0,0.0
2.0,26.0,0.0,72.0,0.0,0.0
1.0,37.0,0.0,62.0,0.0,0.0
1.0,37.0,0.0,29.0,33.0,0.0
1.0,86.0,2.0,11.0,0.0,0.0
1.0,20.0,0.0,79.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,57.0,0.0,42.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,88.0,0.0,11.0,0.0,0.0
1.0,48.0,0.0,51.0,0.0,0.0
1.0,55.0,0.0,42.0,2.0,0.0
1.0,8.0,0.0,91.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,51.0,0.0,48.0,0.0,0.0
3.0,4.0,0.0,93.0,0.0,0.0
2.0,2.0,0.0,96.0,0.0,0.0
1.0,22.0,0.0,3.0,74.0,0.0
1.0,4.0,0.0,95.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,48.0,51.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
2.0,16.0,0.0,82.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,7.0,0.0,91.0,0.0,0.0
1.0,2.0,0.0,97.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,6.0,0.0,93.0,0.0,0.0
1.0,18.0,0.0,81.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,87.0,0.0,11.0,0.0,0.0
1.0,80.0,0.0,19.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,9.0,0.0,90.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,22.0,0.0,21.0,56.0,0.0
1.0,45.0,0.0,54.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,35.0,64.0,0.0,0.0
1.0,49.0,0.0,50.0,0.0,0.0
1.0,1.0,0.0,90.0,8.0,0.0
1.0,72.0,0.0,15.0,12.0,0.0
1.0,92.0,7.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,10.0,0.0,89.0,0.0,0.0
1.0,26.0,0.0,73.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,3.0,6.0,90.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,84.0,15.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,30.0,69.0,0.0,0.0
1.0,42.0,0.0,57.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,21.0,0.0,59.0,19.0,0.0
1.0,67.0,0.0,27.0,5.0,0.0
1.0,23.0,0.0,76.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
2.0,52.0,0.0,46.0,0.0,0.0
1.0,2.0,97.0,0.0,0.0,0.0
1.0,91.0,8.0,0.0,0.0,0.0
2.0,3.0,0.0,95.0,0.0,0.0
1.0,47.0,0.0,52.0,0.0,0.0
1.0,85.0,0.0,14.0,0.0,0.0
1.0,27.0,0.0,72.0,0.0,0.0
1.0,45.0,0.0,54.0,0.0,0.0
1.0,76.0,0.0,23.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,47.0,0.0,52.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,60.0,0.0,39.0,0.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,44.0,0.0,55.0,0.0,0.0
1.0,44.0,0.0,55.0,0.0,0.0
2.0,42.0,0.0,56.0,0.0,0.0
1.0,0.0,2.0,97.0,0.0,0.0
1.0,18.0,0.0,81.0,0.0,0.0
1.0,58.0,0.0,41.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,13.0,0.0,86.0,0.0,0.0
1.0,45.0,0.0,54.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,13.0,0.0,86.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,38.0,0.0,60.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,40.0,0.0,59.0,0.0,0.0
1.0,38.0,0.0,61.0,0.0,0.0
1.0,33.0,0.0,66.0,0.0,0.0
1.0,5.0,0.0,57.0,37.0,0.0
1.0,4.0,0.0,59.0,36.0,0.0
1.0,0.0,2.0,97.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,97.0,0.0,0.0
1.0,38.0,0.0,4.0,57.0,0.0
2.0,62.0,0.0,36.0,0.0,0.0
1.0,14.0,0.0,39.0,46.0,0.0
1.0,13.0,0.0,72.0,14.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,29.0,0.0,70.0,0.0,0.0
1.0,47.0,52.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,92.0,0.0,7.0,0.0,0.0
1.0,3.0,0.0,96.0,0.0,0.0
1.0,78.0,0.0,21.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,81.0,0.0,18.0,0.0,0.0
2.0,20.0,0.0,58.0,20.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,38.0,0.0,61.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,3.0,0.0,96.0,0.0,0.0
1.0,30.0,0.0,69.0,0.0,0.0
1.0,61.0,0.0,38.0,0.0,0.0
1.0,79.0,0.0,20.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,53.0,40.0,0.0
1.0,87.0,0.0,12.0,0.0,0.0
1.0,73.0,0.0,26.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
3.0,4.0,0.0,18.0,75.0,0.0
1.0,8.0,0.0,91.0,0.0,0.0
1.0,40.0,0.0,59.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
1.0,36.0,0.0,63.0,0.0,0.0
1.0,26.0,0.0,26.0,47.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,94.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,10.0,2.0,87.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,29.0,70.0,0.0,0.0,0.0
1.0,70.0,0.0,29.0,0.0,0.0
1.0,0.0,0.0,99.0,0.0,0.0
2.0,0.0,0.0,98.0,0.0,0.0
1.0,1.0,42.0,56.0,0.0,0.0
1.0,14.0,0.0,4.0,81.0,0.0
