recon,cyber,disinfo,comb,cyber2,disinfo2
1.0,59.0,1.0,0.0,0.0,0.0
2.0,44.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0
1.0,37.0,2.0,0.0,0.0,0.0
1.0,0.0,14.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,2.0,4.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,26.0,2.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,1.0,0.0,0.0
3.0,5.0,2.0,0.0,0.0,0.0
2.0,95.0,3.0,0.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,96.0,2.0,1.0,0.0,0.0
3.0,20.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,2.0,0.0,22.0
1.0,2.0,1.0,0.0,0.0,0.0
1.0,5.0,8.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,92.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,18.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0
2.0,2.0,0.0,2.0,94.0,0.0
1.0,16.0,0.0,1.0,0.0,0.0
1.0,1.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,44.0,0.0,0.0,0.0
1.0,93.0,4.0,2.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,30.0,2.0,0.0,0.0
1.0,36.0,0.0,1.0,0.0,0.0
1.0,17.0,1.0,0.0,0.0,0.0
1.0,2.0,15.0,2.0,0.0,0.0
2.0,0.0,36.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,8.0,0.0,3.0,0.0,0.0
1.0,1.0,15.0,0.0,0.0,0.0
1.0,0.0,31.0,1.0,0.0,0.0
1.0,1.0,10.0,0.0,0.0,0.0
1.0,1.0,51.0,1.0,0.0,0.0
1.0,80.0,0.0,1.0,0.0,0.0
1.0,0.0,76.0,1.0,0.0,0.0
3.0,1.0,23.0,0.0,0.0,0.0
1.0,0.0,3.0,2.0,0.0,0.0
1.0,3.0,13.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,16.0
1.0,13.0,0.0,1.0,0.0,0.0
1.0,1.0,15.0,3.0,0.0,0.0
1.0,1.0,9.0,1.0,0.0,0.0
2.0,0.0,21.0,1.0,0.0,0.0
1.0,65.0,1.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
3.0,1.0,1.0,2.0,0.0,0.0
2.0,1.0,8.0,0.0,0.0,0.0
1.0,0.0,5.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,46.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,61.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
2.0,0.0,3.0,2.0,0.0,0.0
3.0,6.0,33.0,4.0,0.0,0.0
1.0,5.0,28.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,8.0,0.0,1.0,0.0,0.0
1.0,3.0,46.0,0.0,0.0,0.0
1.0,3.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,5.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,6.0,0.0,0.0,0.0
1.0,1.0,69.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,8.0,16.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,9.0,23.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,97.0,2.0,0.0,0.0
1.0,11.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,68.0,2.0,0.0,0.0,0.0
1.0,1.0,59.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,11.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,2.0,2.0,0.0,0.0,0.0
1.0,0.0,2.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,3.0,95.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
3.0,34.0,0.0,1.0,0.0,0.0
1.0,3.0,0.0,1.0,95.0,0.0
2.0,1.0,0.0,4.0,93.0,0.0
2.0,0.0,33.0,3.0,0.0,0.0
1.0,5.0,1.0,0.0,0.0,0.0
1.0,95.0,1.0,3.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,16.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,8.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,38.0,0.0,1.0,0.0,0.0
1.0,0.0,50.0,2.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,44.0,1.0,0.0,0.0,0.0
1.0,2.0,33.0,0.0,0.0,0.0
1.0,85.0,1.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
1.0,25.0,0.0,1.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
3.0,3.0,12.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,13.0,1.0,0.0,0.0
1.0,4.0,22.0,3.0,0.0,0.0
1.0,83.0,1.0,0.0,0.0,0.0
1.0,78.0,0.0,1.0,0.0,0.0
1.0,0.0,87.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,1.0,13.0,0.0,0.0,0.0
2.0,0.0,38.0,1.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
1.0,33.0,0.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
2.0,0.0,13.0,1.0,0.0,0.0
3.0,2.0,2.0,2.0,0.0,0.0
1.0,3.0,24.0,0.0,0.0,0.0
1.0,1.0,16.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,31.0,0.0,0.0,0.0
1.0,5.0,9.0,1.0,0.0,0.0
4.0,92.0,0.0,4.0,0.0,0.0
1.0,2.0,10.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,1.0,4.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,10.0,1.0,0.0,0.0
1.0,3.0,0.0,1.0,95.0,0.0
1.0,1.0,0.0,2.0,96.0,0.0
2.0,13.0,18.0,1.0,0.0,0.0
3.0,3.0,0.0,4.0,90.0,0.0
2.0,40.0,1.0,0.0,0.0,0.0
1.0,1.0,4.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,1.0,10.0,0.0,0.0,0.0
1.0,18.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,27.0,2.0,0.0,0.0
3.0,3.0,13.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,2.0,0.0,1.0,1.0,0.0
1.0,90.0,3.0,0.0,0.0,0.0
1.0,21.0,3.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,1.0,3.0,0.0,6.0
1.0,3.0,1.0,0.0,0.0,0.0
1.0,1.0,27.0,0.0,0.0,0.0
1.0,32.0,0.0,2.0,0.0,0.0
1.0,1.0,11.0,1.0,0.0,0.0
1.0,4.0,51.0,7.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,3.0,4.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,36.0,1.0,0.0,0.0
2.0,2.0,1.0,3.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,2.0,22.0,0.0
2.0,21.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,8.0,2.0,0.0,0.0,0.0
2.0,2.0,0.0,1.0,95.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,90.0,2.0,0.0,0.0,0.0
2.0,93.0,0.0,3.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,2.0,96.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,95.0,0.0,3.0,0.0,0.0
1.0,8.0,0.0,1.0,90.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,7.0,0.0,1.0,91.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,90.0,0.0,1.0,0.0,0.0
4.0,93.0,1.0,0.0,0.0,0.0
1.0,86.0,1.0,1.0,0.0,0.0
2.0,4.0,0.0,2.0,27.0,0.0
1.0,0.0,2.0,1.0,0.0,5.0
3.0,0.0,3.0,4.0,0.0,0.0
1.0,4.0,23.0,0.0,0.0,0.0
1.0,0.0,90.0,1.0,0.0,0.0
1.0,11.0,0.0,2.0,86.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,96.0,2.0,1.0,0.0,0.0
2.0,0.0,4.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,13.0,2.0,0.0,0.0
1.0,2.0,70.0,0.0,0.0,0.0
2.0,3.0,0.0,2.0,93.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,3.0,0.0,2.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,5.0,1.0,0.0,0.0,0.0
1.0,94.0,0.0,1.0,0.0,0.0
1.0,96.0,1.0,0.0,0.0,0.0
1.0,18.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,1.0,83.0,0.0
1.0,7.0,0.0,1.0,91.0,0.0
3.0,25.0,0.0,1.0,0.0,0.0
1.0,82.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,16.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,12.0
4.0,10.0,0.0,2.0,84.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,65.0,1.0,0.0,0.0,0.0
1.0,0.0,47.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,1.0,23.0,0.0,0.0,0.0
1.0,0.0,26.0,1.0,0.0,0.0
1.0,6.0,21.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,1.0,41.0,0.0
2.0,0.0,5.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,11.0
1.0,0.0,1.0,2.0,0.0,5.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,1.0,33.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,16.0,2.0,0.0,0.0
1.0,11.0,0.0,3.0,85.0,0.0
1.0,0.0,84.0,1.0,0.0,0.0
1.0,2.0,0.0,1.0,96.0,0.0
1.0,38.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,0.0,6.0,1.0,0.0,0.0
1.0,47.0,1.0,1.0,0.0,0.0
2.0,3.0,0.0,1.0,94.0,0.0
1.0,1.0,0.0,4.0,94.0,0.0
1.0,4.0,14.0,0.0,0.0,0.0
1.0,5.0,0.0,2.0,92.0,0.0
2.0,95.0,1.0,2.0,0.0,0.0
2.0,0.0,13.0,3.0,0.0,0.0
1.0,13.0,25.0,0.0,0.0,0.0
2.0,49.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,43.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,9.0,24.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,6.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,39.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
2.0,93.0,1.0,4.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,4.0,0.0,1.0,94.0,0.0
1.0,9.0,23.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,10.0,0.0,1.0,88.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,1.0,0.0,2.0,96.0,0.0
1.0,0.0,1.0,2.0,0.0,96.0
3.0,4.0,0.0,2.0,91.0,0.0
1.0,1.0,0.0,4.0,94.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
2.0,55.0,0.0,1.0,0.0,0.0
1.0,0.0,31.0,1.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,4.0,29.0,0.0,0.0,0.0
2.0,1.0,30.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,13.0,8.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,6.0,18.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,1.0,25.0,0.0,0.0,0.0
2.0,6.0,3.0,0.0,0.0,0.0
1.0,2.0,92.0,5.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,2.0,0.0,0.0
1.0,1.0,0.0,3.0,95.0,0.0
2.0,5.0,21.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,37.0,2.0,0.0,0.0
3.0,2.0,0.0,4.0,0.0,0.0
2.0,5.0,14.0,0.0,0.0,0.0
1.0,1.0,10.0,0.0,0.0,0.0
3.0,4.0,0.0,1.0,50.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,2.0,0.0,2.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,37.0,2.0,0.0,0.0
1.0,0.0,2.0,1.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,1.0,96.0,0.0
1.0,13.0,3.0,0.0,0.0,0.0
1.0,2.0,2.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,95.0,0.0,2.0,0.0,0.0
1.0,0.0,49.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,95.0,3.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,1.0,0.0,41.0
1.0,86.0,1.0,1.0,0.0,0.0
2.0,2.0,0.0,1.0,95.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,16.0,0.0,1.0,56.0,0.0
1.0,1.0,21.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,9.0
1.0,5.0,24.0,0.0,0.0,0.0
1.0,1.0,5.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
2.0,1.0,0.0,3.0,91.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,23.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,31.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,92.0,0.0
1.0,9.0,8.0,0.0,0.0,0.0
1.0,0.0,13.0,2.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,14.0
1.0,18.0,0.0,1.0,80.0,0.0
2.0,4.0,0.0,2.0,92.0,0.0
1.0,95.0,2.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,1.0,8.0,0.0,0.0,0.0
1.0,7.0,0.0,1.0,32.0,0.0
1.0,95.0,4.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0
1.0,36.0,0.0,3.0,0.0,0.0
2.0,16.0,0.0,1.0,0.0,0.0
2.0,0.0,4.0,2.0,0.0,0.0
2.0,0.0,24.0,1.0,0.0,0.0
2.0,1.0,17.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,3.0,91.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,40.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,96.0,2.0,0.0,0.0,0.0
1.0,1.0,38.0,0.0,0.0,0.0
1.0,1.0,6.0,1.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,45.0,0.0,0.0,0.0
1.0,94.0,2.0,3.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,48.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,16.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,10.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,2.0,13.0,0.0,0.0,0.0
3.0,35.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,30.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,1.0,8.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,20.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
3.0,8.0,0.0,1.0,88.0,0.0
1.0,1.0,2.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,1.0,5.0,1.0,0.0,0.0
1.0,4.0,27.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,5.0,0.0,6.0,88.0,0.0
1.0,1.0,26.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,16.0,82.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,11.0,5.0,2.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,51.0,1.0,0.0,0.0,0.0
2.0,1.0,12.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,1.0,7.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,4.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,2.0,95.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
3.0,2.0,0.0,1.0,94.0,0.0
4.0,8.0,0.0,1.0,87.0,0.0
2.0,0.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,10.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,3.0,1.0,0.0,0.0
2.0,1.0,0.0,4.0,93.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
1.0,89.0,2.0,8.0,0.0,0.0
1.0,12.0,0.0,2.0,38.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,2.0,27.0,0.0,0.0,0.0
1.0,1.0,17.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
2.0,95.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,6.0,3.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
3.0,4.0,36.0,0.0,0.0,0.0
2.0,10.0,0.0,1.0,87.0,0.0
1.0,25.0,1.0,0.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
2.0,1.0,20.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,1.0,0.0,0.0,0.0
2.0,0.0,2.0,2.0,0.0,10.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,96.0,2.0,1.0,0.0,0.0
1.0,0.0,1.0,6.0,0.0,14.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,38.0,0.0,0.0,0.0
1.0,1.0,11.0,0.0,0.0,0.0
2.0,96.0,2.0,0.0,0.0,0.0
1.0,23.0,1.0,4.0,0.0,0.0
1.0,0.0,26.0,1.0,0.0,0.0
2.0,0.0,5.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,28.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
2.0,4.0,42.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,1.0,8.0,0.0,0.0,0.0
1.0,24.0,0.0,1.0,74.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
4.0,4.0,78.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,6.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,4.0,0.0,94.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,1.0,25.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,1.0,98.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,42.0,0.0,0.0,0.0
1.0,0.0,10.0,1.0,0.0,0.0
1.0,0.0,1.0,3.0,0.0,60.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,11.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,1.0,0.0,2.0,95.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
3.0,2.0,35.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,1.0,0.0,1.0,79.0,0.0
1.0,9.0,43.0,2.0,0.0,0.0
1.0,1.0,33.0,0.0,0.0,0.0
3.0,94.0,1.0,2.0,0.0,0.0
1.0,83.0,0.0,2.0,0.0,0.0
1.0,83.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,4.0,0.0,34.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,0.0,0.0,0.0
2.0,31.0,0.0,2.0,65.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,7.0,24.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,2.0,18.0,0.0,0.0,0.0
1.0,2.0,0.0,1.0,96.0,0.0
1.0,8.0,49.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,41.0
